id,name,country_code,official_website,short_description,full_description,founded_year,total_students,international_students_percent,tuition_min,tuition_max,tuition_currency,admission_requirements_summary,campus_summary,career_outcomes_summary
8a1b9695-6e73-53dd-a33c-4919d95a9686,Technische Hochschule Brandenburg,DE,https://www.technischehochschulebrandenburg.edu,"Technische Hochschule Brandenburg — университет в DE, предлагающий качественное образование и международную академическую среду.","Technische Hochschule Brandenburg — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Technische Hochschule Brandenburg находят работу в международных компаниях, государственном секторе и научных организациях."
6ecbaca9-0cb3-5ccc-b88d-742e541e7c3b,Fachhochschule Osnabrück,DE,https://www.fachhochschuleosnabrück.edu,"Fachhochschule Osnabrück — университет в DE, предлагающий качественное образование и международную академическую среду.","Fachhochschule Osnabrück — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Fachhochschule Osnabrück находят работу в международных компаниях, государственном секторе и научных организациях."
735f928b-e5f0-56ef-8c99-aace97ae7282,Technische Universität Dortmund,DE,https://www.technischeuniversitätdortmund.edu,"Technische Universität Dortmund — университет в DE, предлагающий качественное образование и международную академическую среду.","Technische Universität Dortmund — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Technische Universität Dortmund находят работу в международных компаниях, государственном секторе и научных организациях."
9685a4f1-0b14-5733-b9d9-0a04f1e69fff,Justus Liebig Universität Gießen,DE,https://www.justusliebiguniversitätgießen.edu,"Justus Liebig Universität Gießen — университет в DE, предлагающий качественное образование и международную академическую среду.","Justus Liebig Universität Gießen — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Justus Liebig Universität Gießen находят работу в международных компаниях, государственном секторе и научных организациях."
4e099aca-3d8c-53d3-8ed8-2312c3599bf9,Fachhochschule für Oekonomie und Management (FOM),DE,https://www.fachhochschulefüroekonomieundmanagement(fom).edu,"Fachhochschule für Oekonomie und Management (FOM) — университет в DE, предлагающий качественное образование и международную академическую среду.","Fachhochschule für Oekonomie und Management (FOM) — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Fachhochschule für Oekonomie und Management (FOM) находят работу в международных компаниях, государственном секторе и научных организациях."
48d5017a-99b3-5b4e-8cfd-9bc00b920c64,Lutherische Theologische Hochschule Oberursel,DE,https://www.lutherischetheologischehochschuleoberursel.edu,"Lutherische Theologische Hochschule Oberursel — университет в DE, предлагающий качественное образование и международную академическую среду.","Lutherische Theologische Hochschule Oberursel — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Lutherische Theologische Hochschule Oberursel находят работу в международных компаниях, государственном секторе и научных организациях."
0d2b1ab7-3e91-5875-aea0-b11f4f4c190b,"Muthesius-Hochschule, Fachhochschule für Kunst und Gestaltung",DE,"https://www.muthesius-hochschule,fachhochschulefürkunstundgestaltung.edu","Muthesius-Hochschule, Fachhochschule für Kunst und Gestaltung — университет в DE, предлагающий качественное образование и международную академическую среду.","Muthesius-Hochschule, Fachhochschule für Kunst und Gestaltung — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Muthesius-Hochschule, Fachhochschule für Kunst und Gestaltung находят работу в международных компаниях, государственном секторе и научных организациях."
5a1bc95e-c2c5-5b28-b5a7-1b505da8a89c,Ludwig-Maximilians-Universität München,DE,https://www.ludwig-maximilians-universitätmünchen.edu,"Ludwig-Maximilians-Universität München — университет в DE, предлагающий качественное образование и международную академическую среду.","Ludwig-Maximilians-Universität München — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Ludwig-Maximilians-Universität München находят работу в международных компаниях, государственном секторе и научных организациях."
e92b858a-64f9-5656-9b0c-d3e2fc39d625,Fachhochschule Wedel,DE,https://www.fachhochschulewedel.edu,"Fachhochschule Wedel — университет в DE, предлагающий качественное образование и международную академическую среду.","Fachhochschule Wedel — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Fachhochschule Wedel находят работу в международных компаниях, государственном секторе и научных организациях."
76486c8d-01d7-5156-8ffb-bd7cb8f50b17,"Fachhochschule Landshut, Hochschule für Wirtschaft - Sozialwesen - Technik",DE,"https://www.fachhochschulelandshut,hochschulefürwirtschaft-sozialwesen-technik.edu","Fachhochschule Landshut, Hochschule für Wirtschaft - Sozialwesen - Technik — университет в DE, предлагающий качественное образование и международную академическую среду.","Fachhochschule Landshut, Hochschule für Wirtschaft - Sozialwesen - Technik — университет, расположенный в DE, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Fachhochschule Landshut, Hochschule für Wirtschaft - Sozialwesen - Technik находят работу в международных компаниях, государственном секторе и научных организациях."
3a12b04c-3a31-530f-b5fb-08c7975b72d6,Université de Franche Comté,FR,https://www.universitédefranchecomté.edu,"Université de Franche Comté — университет в FR, предлагающий качественное образование и международную академическую среду.","Université de Franche Comté — университет, расположенный в FR, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Université de Franche Comté находят работу в международных компаниях, государственном секторе и научных организациях."
1e5eddd4-9df0-53f0-9b75-906a10c57c9a,Ecole Supérieure d'Electronique de l'Ouest,FR,https://www.ecolesupérieuredelectroniquedelouest.edu,"Ecole Supérieure d'Electronique de l'Ouest — университет в FR, предлагающий качественное образование и международную академическую среду.","Ecole Supérieure d'Electronique de l'Ouest — университет, расположенный в FR, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Ecole Supérieure d'Electronique de l'Ouest находят работу в международных компаниях, государственном секторе и научных организациях."
1fca5bf1-b7ce-5a99-b079-89463ab47f88,IMT Atlantique,FR,https://www.imtatlantique.edu,"IMT Atlantique — университет в FR, предлагающий качественное образование и международную академическую среду.","IMT Atlantique — университет, расположенный в FR, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники IMT Atlantique находят работу в международных компаниях, государственном секторе и научных организациях."
df4473b6-5395-5d0e-a5c9-84ce4e0e5233,Université Paris-Est Marne-la-Vallée,FR,https://www.universitéparis-estmarne-la-vallée.edu,"Université Paris-Est Marne-la-Vallée — университет в FR, предлагающий качественное образование и международную академическую среду.","Université Paris-Est Marne-la-Vallée — университет, расположенный в FR, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники Université Paris-Est Marne-la-Vallée находят работу в международных компаниях, государственном секторе и научных организациях."
81289a5e-8b4c-5196-b51c-0392bd94fb42,ESLSCA Business School Paris,FR,https://www.eslscabusinessschoolparis.edu,"ESLSCA Business School Paris — университет в FR, предлагающий качественное образование и международную академическую среду.","ESLSCA Business School Paris — университет, расположенный в FR, который предлагает современные образовательные программы и ориентирован на подготовку студентов к международной карьере.

Он подойдёт студентам, которые ищут сочетание академического качества, практических навыков и возможностей для дальнейшего профессионального роста.",,,,,,,"Для поступления обычно требуется подтверждение предыдущего образования, знание языка обучения и полный пакет документов.","Университет предлагает комфортную учебную среду с современной инфраструктурой, включающей учебные корпуса, библиотеки и пространства для студентов.","Выпускники ESLSCA Business School Paris находят работу в международных компаниях, государственном секторе и научных организациях."
